,id,sex,age,education,game_won,time_to_2,time_to_7,time_to_end,time_total
311,333,m,1.0,2.0,1.0,0 days 00:01:42.741527,0 days 00:03:45.796236,0 days 02:54:07.300782,0 days 02:54:07.300782
312,334,f,2.0,3.0,1.0,0 days 00:07:22.952124,0 days 00:11:03.815707,0 days 00:15:53.372095,0 days 00:15:53.372095
313,335,m,3.0,3.0,,0 days 00:00:49.059175,,,
314,336,m,2.0,3.0,,0 days 00:01:27.512084,,,
315,337,m,2.0,3.0,1.0,0 days 00:04:10.766667,0 days 00:08:26.485635,0 days 00:12:01.577583,0 days 00:12:01.577583
317,339,f,2.0,3.0,,0 days 00:04:00.507936,0 days 00:13:08.330487,,
318,340,f,2.0,3.0,,0 days 00:02:58.769561,0 days 00:07:08.412693,,
319,341,f,2.0,3.0,,0 days 00:01:33.640953,,,
320,342,m,2.0,4.0,,0 days 00:01:11.287829,,,
321,343,m,2.0,4.0,,,,,
323,345,,2.0,2.0,,0 days 00:00:17.841162,0 days 00:07:39.968943,,
325,347,,2.0,,1.0,0 days 00:01:46.051674,0 days 00:05:38.957537,0 days 00:07:46.995740,0 days 00:07:46.995740
327,349,m,2.0,3.0,,0 days 00:00:26.008372,,,
328,350,m,2.0,3.0,1.0,0 days 00:01:43.103515,0 days 00:09:54.086483,0 days 00:13:53.865240,0 days 00:13:53.865240
329,351,m,3.0,3.0,,0 days 00:00:41.826745,,,
331,353,m,1.0,2.0,,0 days 00:03:55.535914,,,
332,354,,,,,0 days 00:01:05.714500,,,
333,355,,,,,,,,
334,356,f,1.0,2.0,1.0,0 days 00:02:17.961864,0 days 00:08:56.659012,0 days 00:14:50.627889,0 days 00:14:50.627889
337,359,m,2.0,3.0,,0 days 00:01:26.194471,,,
338,360,m,2.0,3.0,,0 days 00:04:26.697180,,,
339,361,m,1.0,2.0,0.0,,,,0 days 00:01:08.230806
340,362,,,,0.0,0 days 00:02:41.290181,,,0 days 00:03:04.995119
