last_hint_correct,history_hint_correct,group,sex,age,education,hint_density,lie_detected
1.0,-0.3165789846261565,dpm,m,1.0,1.0,-1.2584056890029196,1
1.0,0.3059365900734627,dpm,m,1.0,1.0,1.4620780709258987,1
0.0,-0.3165789846261565,dpm,m,1.0,1.0,1.4620780709258987,1
0.0,-0.627836771975966,dpm,m,1.0,1.0,0.5552501509496263,1
0.0,-0.8145914443858517,dpm,m,1.0,1.0,0.6847969966605219,1
1.0,-0.49444057739747627,dpm,m,1.0,1.0,0.85752612427505,1
0.0,-0.627836771975966,dpm,m,1.0,1.0,0.9179813189401352,1
0.0,-0.7315893677592359,dpm,m,1.0,1.0,0.9674446600297498,1
0.0,-0.8145914443858517,dpm,m,1.0,1.0,1.0086641109377623,1
1.0,-0.627836771975966,dpm,m,1.0,1.0,1.0734375337932107,1
0.0,-0.6996654921336143,dpm,m,1.0,1.0,1.0993469029353897,1
0.0,-0.7612329665544558,dpm,m,1.0,1.0,1.1220176009347964,1
0.0,-0.8145914443858517,dpm,m,1.0,1.0,1.1420211579930966,1
1.0,-0.682764616802403,dpm,m,1.0,1.0,0.279259044869891,0
0.0,-0.7315893677592359,dpm,m,1.0,1.0,-0.002797799805003638,1
1.0,-0.627836771975966,dpm,m,1.0,1.0,-0.03887848627620787,1
1.0,-0.5429482845169271,dpm,m,1.0,1.0,-0.06819404403406154,1
0.0,-0.58723793014773,dpm,m,1.0,1.0,-0.24794029245792987,1
1.0,-0.5157839685300345,dpm,m,1.0,1.0,-0.2561221985028285,1
1.0,-0.4549157790038496,dpm,m,1.0,1.0,-0.351577769026647,1
1.0,-0.4024432018261039,dpm,m,1.0,1.0,-0.578284749020715,1
1.0,-0.35674127976806735,dpm,m,1.0,1.0,-0.4966702362228504,1
0.0,-0.39439343146360883,dpm,m,1.0,1.0,-0.6538537423520708,1
0.0,-0.4297636345715417,dpm,m,1.0,1.0,-0.6153822548379262,1
1.0,-0.38772362173468433,dpm,m,1.0,1.0,-0.5424889100742833,0
0.0,-0.4203315804094262,dpm,m,1.0,1.0,-0.507927410401866,1
0.0,-0.45117694672337133,dpm,m,1.0,1.0,-0.5329433530219015,1
0.0,-0.48039887270500353,dpm,m,1.0,1.0,-0.5563453638599988,1
1.0,-0.37731221142611926,dpm,m,1.0,1.0,-0.5164555726586965,1
1.0,-0.3455331974028828,dpm,m,1.0,1.0,-0.5588527221640807,1
1.0,-0.2106188868049446,dpm,m,1.0,1.0,-0.4966702362228504,1
0.0,-1.5616101340253947,dpm,f,1.0,1.0,1.4620780709258987,1
0.0,-1.5616101340253947,dpm,f,1.0,1.0,-0.714308937017156,1
1.0,-0.627836771975966,dpm,f,1.0,1.0,-1.2584056890029196,1
1.0,2.17348331417232,dpm,m,2.0,3.0,1.4620780709258987,1
1.0,1.833929364336164,dpm,m,2.0,3.0,1.4620780709258987,0
1.0,1.6398985358583607,dpm,m,2.0,3.0,1.4620780709258987,1
0.0,1.4264646245327772,dpm,m,2.0,3.0,1.4620780709258987,0
0.0,-1.5616101340253947,dpm,f,0.0,1.0,1.4620780709258987,1
1.0,-0.3165789846261565,dpm,f,0.0,1.0,1.4620780709258987,1
0.0,-0.627836771975966,dpm,f,0.0,1.0,1.4620780709258987,0
1.0,2.17348331417232,dpm,m,2.0,3.0,1.4620780709258987,1
0.0,-1.5616101340253947,dpm,f,1.0,1.0,1.4620780709258987,1
0.0,-1.5616101340253947,dpm,f,1.0,1.0,1.4620780709258987,1
0.0,-1.5616101340253947,dpm,m,1.0,2.0,-2.424327300400985,0
0.0,-1.5616101340253947,dpm,m,1.0,2.0,-1.9385266289851242,0
0.0,-1.5616101340253947,dpm,m,1.0,2.0,-1.560681662328344,0
