,id,sex,age,education,timestamp_2,timestamp_7,timestamp_end,timestamp_start,game_won,time_to_2,time_to_7,time_to_end,time_total
109,131,m,1.0,2.0,,,,2023-09-14 12:02:26.779156,,,,,
111,133,f,1.0,1.0,2023-09-14 12:04:38.582274,,,2023-09-14 12:03:56.538570,,0 days 00:00:42.043704,,,
113,135,m,1.0,1.0,,,2023-09-14 12:06:18.241363,2023-09-14 12:05:45.589854,0.0,,,,0 days 00:00:32.651509
114,136,m,1.0,2.0,,,2023-09-14 12:09:07.417430,2023-09-14 12:07:28.310051,0.0,,,,0 days 00:01:39.107379
116,138,f,1.0,1.0,2023-09-14 12:11:53.691683,,,2023-09-14 12:10:19.168859,,0 days 00:01:34.522824,,,
117,139,m,1.0,2.0,2023-09-14 12:12:37.593818,,,2023-09-14 12:09:55.174582,,0 days 00:02:42.419236,,,
118,140,,0.0,1.0,2023-09-14 12:11:05.657856,,,2023-09-14 12:10:17.848971,,0 days 00:00:47.808885,,,
119,141,m,0.0,1.0,2023-09-14 12:15:03.421582,,,2023-09-14 12:14:14.366699,,0 days 00:00:49.054883,,,
120,142,m,3.0,3.0,,,,2023-09-14 12:17:53.021688,,,,,
121,143,m,1.0,2.0,2023-09-14 12:28:50.485933,2023-09-14 12:33:37.375324,2023-09-14 12:35:26.299456,2023-09-14 12:23:43.187276,0.0,0 days 00:05:07.298657,0 days 00:09:54.188048,,0 days 00:11:43.112180
123,145,f,0.0,1.0,,,,2023-09-14 12:25:15.487658,,,,,
126,148,m,1.0,0.0,,,,2023-09-14 12:36:48.233972,,,,,
127,149,m,2.0,4.0,2023-09-14 13:23:12.334225,2023-09-14 13:26:36.477391,,2023-09-14 12:39:20.565219,,0 days 00:43:51.769006,0 days 00:47:15.912172,,
128,150,m,0.0,,2023-09-14 12:43:55.447713,2023-09-14 12:47:52.188539,2023-09-14 12:49:39.266493,2023-09-14 12:41:36.028053,0.0,0 days 00:02:19.419660,0 days 00:06:16.160486,,0 days 00:08:03.238440
129,151,f,0.0,1.0,,,,2023-09-14 12:45:23.531753,,,,,
130,152,f,1.0,1.0,,,,2023-09-14 12:53:26.904257,,,,,
131,153,f,1.0,1.0,2023-09-14 13:00:41.829299,,,2023-09-14 12:59:39.898210,,0 days 00:01:01.931089,,,
132,154,,,,,,,2023-09-14 12:57:35.430938,,,,,
133,155,f,1.0,1.0,,,,2023-09-14 12:58:24.741957,,,,,
135,157,m,1.0,1.0,2023-09-14 13:04:58.581681,2023-09-14 13:23:17.893510,2023-09-14 13:27:56.206146,2023-09-14 13:01:59.044177,1.0,0 days 00:02:59.537504,0 days 00:21:18.849333,0 days 00:25:57.161969,0 days 00:25:57.161969
136,158,f,0.0,1.0,,,,2023-09-14 13:02:54.296853,,,,,
137,159,m,1.0,2.0,,,,2023-09-14 13:09:10.120161,,,,,
139,161,f,3.0,4.0,2023-09-14 13:19:11.206757,2023-09-14 13:48:41.567163,2023-09-14 13:55:56.797499,2023-09-14 13:18:14.760280,1.0,0 days 00:00:56.446477,0 days 00:30:26.806883,0 days 00:37:42.037219,0 days 00:37:42.037219
141,163,f,1.0,1.0,2023-09-14 13:23:27.324907,,2023-09-14 13:24:23.461802,2023-09-14 13:21:46.512943,0.0,0 days 00:01:40.811964,,,0 days 00:02:36.948859
143,165,f,1.0,2.0,2023-09-14 13:36:27.549592,,,2023-09-14 13:34:37.212367,,0 days 00:01:50.337225,,,
144,166,f,1.0,2.0,,,2023-09-14 13:28:39.252476,2023-09-14 13:27:53.782079,0.0,,,,0 days 00:00:45.470397
145,167,f,1.0,1.0,2023-09-14 13:30:00.176158,2023-09-14 13:30:44.726973,,2023-09-14 13:27:55.932267,,0 days 00:02:04.243891,0 days 00:02:48.794706,,
146,168,f,1.0,2.0,2023-09-14 13:29:37.505488,,,2023-09-14 13:28:56.956606,,0 days 00:00:40.548882,,,
147,169,f,1.0,1.0,,,,2023-09-14 13:36:44.567198,,,,,
148,170,m,1.0,1.0,,,,2023-09-14 13:41:01.144095,,,,,
149,171,m,1.0,1.0,2023-09-14 13:44:43.436678,,,2023-09-14 13:43:51.141714,,0 days 00:00:52.294964,,,
150,172,m,,,2023-09-14 13:46:09.091882,,,2023-09-14 13:45:34.549707,,0 days 00:00:34.542175,,,
153,175,m,1.0,1.0,2023-09-14 13:48:47.015013,2023-09-14 13:49:50.000213,2023-09-14 13:51:05.317458,2023-09-14 13:47:27.075738,1.0,0 days 00:01:19.939275,0 days 00:02:22.924475,0 days 00:03:38.241720,0 days 00:03:38.241720
154,176,f,0.0,1.0,2023-09-14 14:00:05.256184,2023-09-14 14:03:00.988341,,2023-09-14 13:48:26.031554,,0 days 00:11:39.224630,0 days 00:14:34.956787,,
155,177,m,2.0,3.0,,,,2023-09-14 13:51:40.412654,,,,,
156,178,m,1.0,3.0,,,,2023-09-14 14:05:56.505348,,,,,
157,179,f,0.0,0.0,2023-09-14 14:18:45.115062,2023-09-14 14:21:00.937311,,2023-09-14 14:18:01.820273,,0 days 00:00:43.294789,0 days 00:02:59.117038,,
158,180,f,1.0,1.0,2023-09-14 14:24:21.698095,2023-09-14 14:32:25.286998,2023-09-14 14:39:32.850558,2023-09-14 14:19:49.122057,1.0,0 days 00:04:32.576038,0 days 00:12:36.164941,0 days 00:19:43.728501,0 days 00:19:43.728501
159,181,f,1.0,2.0,2023-09-14 14:31:36.465785,2023-09-14 14:51:23.137233,,2023-09-14 14:28:07.724271,,0 days 00:03:28.741514,0 days 00:23:15.412962,,
160,182,f,1.0,1.0,2023-09-14 14:31:41.287953,,2023-09-14 14:32:37.595115,2023-09-14 14:30:01.144757,0.0,0 days 00:01:40.143196,,,0 days 00:02:36.450358
161,183,f,2.0,3.0,2023-09-14 14:33:41.393423,,,2023-09-14 14:30:29.985792,,0 days 00:03:11.407631,,,
162,184,m,2.0,3.0,2023-09-14 14:31:28.451425,2023-09-14 14:33:04.215447,2023-09-14 14:35:53.719483,2023-09-14 14:30:40.357192,1.0,0 days 00:00:48.094233,0 days 00:02:23.858255,0 days 00:05:13.362291,0 days 00:05:13.362291
163,185,m,3.0,4.0,2023-09-14 14:33:34.068421,,,2023-09-14 14:33:14.660366,,0 days 00:00:19.408055,,,
165,187,m,1.0,1.0,,,,2023-09-14 14:35:56.368984,,,,,
166,188,m,0.0,1.0,,,,2023-09-14 14:38:39.001975,,,,,
167,189,m,1.0,2.0,,,,2023-09-14 14:50:33.348833,,,,,
168,190,f,0.0,0.0,2023-09-14 15:00:09.232858,,,2023-09-14 14:59:25.101283,,0 days 00:00:44.131575,,,
169,191,m,1.0,1.0,2023-09-14 15:09:02.793977,,,2023-09-14 15:02:46.320107,,0 days 00:06:16.473870,,,
170,192,m,1.0,1.0,2023-09-14 15:05:31.069482,,,2023-09-14 15:03:22.354938,,0 days 00:02:08.714544,,,
171,193,m,1.0,2.0,,,2023-09-14 15:06:16.334453,2023-09-14 15:05:07.825082,0.0,,,,0 days 00:01:08.509371
